KEY,en,notes,sp,fr,de,it,pt-br,ru,ko,ja,zh
EABILITY_FIRESTORM_NAME,Firestorm,,Tormenta de fuego,Tempête de feu,Feuersturm,Tempesta di Fuoco,Tempestade de Fogo,,,ファイアストーム,
EABILITY_FIREBREATH_NAME,Fire Breath,,Aliento de fuego,Souffle de feu,Feueratem,Soffio di Fuoco,Hálito Flamejante,,,ファイアブレス,
EABILITY_VOLCANOSTOMP_NAME,Volcano Stomp,,Pisotón volcánico,Piétinement volcanique,Vulkanstampfer,Pestone Vulcanico,Pisão de Vulcão,,,ボルケーノストンプ,
EABILITY_SPINDASH_NAME,Spin Dash,,Carrera giratoria,Charge tournoyante,Drehsturm,Scatto Rotante,Impulso Giratório,,,スピンダッシュ,
EABILITY_METEORNADO_NAME,Meteornado,,Meteornado,Météornade,Meteornado,Meteornado,Meteoronado,,,メテオルネード,
EABILITY_TURTLE_NAME,Turtle,,Tortuga,Tortue,Panzerschutz,Tartaruga,Tartaruga,,,タートル,
EABILITY_MAGNETPULL_NAME,Magnet Pull,,Atracción magnética,Attirance magnétique,Magnetzug,Attrazione Magnetica,Atração Magnética,,,マグネットプル,
EABILITY_METEORBOMBARD_NAME,Meteor Bombardment,,Bombardeo de meteoritos,Bombardement météore,Meteorbeschuss,Bombardamento Meteoritico,Bombardeio de Meteoros,,,メテオボンバード,
EABILITY_HSULF_NAME,Hsulf,"""Flush"" backwards (for chaos boss) [backwards version of flushmaster Flush]",Anretsic,Odessahc,Gnulüps,Enouqcaics,Orieugracsed,,,フサ・ルュ,
EABILITY_TSALBDNIMAGEM_NAME,Tsalb Dnim Agem,"""Mega Mind Blast"" backwards (for chaos boss) [backwards version of johnny's Mega Mind Blast]",Latnem nóisolpxeagem,Euqihcysp epparf agèm,Noisolpxeneknadeg Egiseir,Elatnem Enoisolpse Agem,Latnem Oãsolpxe Agem,,,トサル・ブドニ・マゲム,
EABILITY_TUODAERPS_NAME,Tuo Daerps.,"""Spread Out"" backwards (for chaos boss) [backwards version of throbbing king's Spread Out]",Adadnabsed,Suov-zesrepsid.,Hcue tlietreV.,Ivetailgapraps.,Otnemahlapse,,,トゥ・オダエルプス,
EABILITY_THROWGRENADE_NAME,Throw Grenade,,Lanzamiento de granada,Lancer de grenade,Granate werfen,Lancio di Granata,Lançar Granada,,,手榴弾投擲,
EABILITY_SNIPER_NAME,Sniper,,Tiro de francotirador,Sniper,Scharfschütze,Cecchino,Sniper,,,スナイパー,
EABILITY_BOULDERDROP_NAME,Boulder Drop!,,¡Peñasco va!,Lancer de rocher,Steinschlag!,Caduta Massi!,Pedrada!,,,ボルダードロップ!,
EABILITY_T3RIPANDTEAR_NAME,Auseinanderreißen,,Auseinanderreißen,Auseinanderreißen,Auseinanderreißen,Auseinanderreißen,Auseinanderreißen,,,アウサイナンダーライセン,
EABILITY_ROULETTE_NAME,Roulette.,,Ruleta,Roulette.,Roulette.,Roulette.,Roleta.,,,ルーレット,
EABILITY_KNEEL_NAME,Kneel.,,Postración,À genoux.,Kniet nieder.,Inginocchiatevi.,Ajoelhar.,,,ニール,
EABILITY_GOAWAY_NAME,Go Away.,,Distanciamiento,Dégage.,Aus meinen Augen.,Andatevene.,Partida.,,,ゴーアウェイ,
EABILITY_SPREADOUT_NAME,Spread Out.,,Desbandada,Dispersez-vous.,Verteilt euch.,Sparpagliatevi.,Espalhamento.,,,スプレッドアウト,
EABILITY_VOMITRAIN_NAME,Vomit Rain,,Lluvia de vómito,Pluie de vomi,Kotzregen,Pioggia di Vomito,Chuva de Vômito,,,ボミットレイン,
EABILITY_SPAWNBOMB_NAME,Spawn Bomb,,Generación de bomba,Invocation de bombe,Bombe werfen,Generazione Bomba,Gerar Bomba,,,ボム召喚,
EABILITY_SPAWNRAT_NAME,Spawn Rat,,Generación de rata,Invocation de rat,Ratte rufen,Generazione Ratto,Gerar Rato,,,ラット召喚,
EABILITY_CUT_NAME,Cut,,Corte,Coupure,Ritzen,Taglio,Corte,,,カット,
EABILITY_HEAL_NAME,Heal,,Curación,Soin,Heilung,Cura,Cura,,,ヒール,
EABILITY_TRAMPLEDASH_NAME,Trample Dash,,Carrera con pisotón,Charge bélier,Trampelansturm,Scatto Travolgente,Atropelamento,,,蹂躙ダッシュ,
EABILITY_RAGEUP_NAME,Rage Up,,Rabia aumentada,Fureur,Wut hoch,Furia +,Enfurecer,,,レイジアップ,
EABILITY_DUSTDASH_NAME,Dust Dash,,Carrera polvorienta,Charge poussiéreuse,Staubansturm,Scatto di Polvere,Impulso de Poeira,,,ダストダッシュ,
EABILITY_SPELLSHIELD_NAME,Spell Shield,,Escudo antihechizos,Bouclier magique,Zauberschild,Scudo Magico,Escudo Encantado,,,スペルシールド,
EABILITY_FLAMETHROWER_NAME,Flamethrower,,Lanzallamas,Lance-flammes,Flammenwerfer,Lanciafiamme,Lança-Chamas,,,火炎放射,
EABILITY_WIZBLIZZ_NAME,Wiz Blizz,,Viento embrujado,Blizzard magique,Zauberschnee,Bufera Magica,Nevascaria,,,ウィズブリズ,
EABILITY_WIZSTORM_NAME,xXx_Thunder_xXx,,xXx_Trueno_xXx,xXx_Tonnerre_xXx,xXx_Donner_xXx,xXx_Tuono_xXx,xXx_Trovão_xXx,,,xXx_サンダー_xXx,
EABILITY_SWIPE_NAME,Swipe,,Golpe,Baffe,Schlag,Zampata,Passada,,,スワイプ,
EABILITY_BITE_NAME,Bite,,Mordisco,Morsure,Biss,Morso,Mordida,,,バイト,
EABILITY_GEMINADO_NAME,Geminado,,Geminado,Tornades jumelles,Geminado,Geminado,Geminado,,,ジェミナード,
EABILITY_SUICIDEMELEE_NAME,Melee Attack,,Ataque cuerpo a cuerpo,Attaque au corps-à-corps,Nahkampfangriff,Attacco Corpo a Corpo,Ataque Corpo-a-Corpo,,,近接攻撃,
EABILITY_SUICIDEMELEE_DESC,A melee attack that also damages yourself.,,Un ataque cuerpo a cuerpo que también daña a esta unidad.,Une attaque au corps-à-corps qui vous inflige également des dégâts.,"Ein Nahkampfangriff, der dir auch selbst Schaden zufügt.",Un attacco corpo a corpo che danneggia anche te.,Um ataque corpo-a-corpo que também causa dano a você.,,,自分にも​ダメージを​与える​近接攻撃。[b][/b],
EABILITY_SPAWNMAGGOT_NAME,Spawn Maggot,,Generación de gusano,Invocation d'asticot,Made rufen,Generazione Larva,Gerar Verme,,,ウジ召喚,
EABILITY_SPAWNMAGGOTS_NAME,Spawn Maggots,,Generación de gusanos,Invocation d'asticots,Maden rufen,Generazione Larve,Gerar Vermes,,,ウジ大量召喚,
EABILITY_SPAWNFLEA_NAME,Spawn Flea,,Generación de pulga,Invocation de puce,Floh rufen,Generazione Pulce,Gerar Pulga,,,ノミ召喚,
EABILITY_RATLEAP_NAME,Rat Leap,,Brinco ratonero,Saut de rat,Rattensprung,Balzo del Ratto,Salto do Rato,,,ラットリープ,
EABILITY_CATCALL_NAME,Cat Call,,Llamada felina,Huée,Katzenjammer,Richiamo del Gatto,Cantada,,,キャットコール,
EABILITY_MUTATE_NAME,Mutate,,Mutación,Mutation,Mutation,Mutazione,Mutação,,,ミューテート,
EABILITY_TUMORPRISON_NAME,Tumor Prison,,Prisión tumoral,Prison tumeur,Tumorgefängnis,Prigione Tumorale,Prisão de Tumor,,,腫瘍の​牢獄,
EABILITY_RALLYMAGGOTS_NAME,"Rally, Maggots!",,Gusanos replegados,Ralliement d'asticots,"Auf sie, ihr Maden!","Radunatevi, Larve!","Vermes, Comigo!",,,ラリー、​マゴット!,
EABILITY_ZAP_NAME,Zap,,Calambre,Bzzzz,Stromstoß,Zap,Zap,,,ザップ,
EABILITY_FATLEAP_NAME,Fat Leap,,Brinco grasiento,Gros saut,Fetter Sprung,Balzo Ciccione,Salto Gorduroso,,,ファットリープ,
EABILITY_XLIGHTNING_NAME,X Lightning,,Rayo X,Éclair X,X-Blitz,Fulmin-X,Raio X,,,Xライトニング,
EABILITY_SLIDE_NAME,Slide,,Deslizamiento,Glissade,Rutschen,Scivolata,Deslizar,,,スライド,
EABILITY_MCFLAMETHROWER_NAME,MC Flamethrower,,Lanzallamas de GM,CM&nbsp;Lance-flammes,MC-Flammenwerfer,Lanciafiamme del GM,Lança-Chamas MC,,,MC火炎放射,
EABILITY_MCBLIZZ_NAME,MC Blizz,,Ventisca de GM,CM&nbsp;Blizzard,MC-Blizz,Bufera del GM,Nevasca MC,,,MCブリザード,
EABILITY_MCTHUNDER_NAME,MC Thunder,,Trueno de GM,CM&nbsp;Tonnerre,MC-Donner,Tuono del GM,Trovão MC,,,MCサンダー,
EABILITY_D6FIZZLE_NAME,0 : Fizzle,,0 : Chisporroteo,0&nbsp;: Crépitement,0 : Zischen,0: Sibilo,0 : Silvo,,,0:フィズル,
EABILITY_D6CONFUSION_NAME,1 : Confusion,,1 : Confusión,1&nbsp;: Confusion,1 : Verwirrung,1: Confusione,1 : Confusão,,,1:混乱,
EABILITY_D6POOP_NAME,2 : Poop,,2 : Caca,2&nbsp;: Crotte,2 : Häufchen,2: Cacca,2 : Cocô,,,2:プープ,
EABILITY_D6LEECH_NAME,2 : Leech,,2 : Sanguijuela,2&nbsp;: Sangsue,2 : Blutegel,2: Sanguisuga,2 : Sanguessuga,,,2:リーチ,
EABILITY_D6LASER_NAME,3 : Laser,,3 : Láser,3&nbsp;: Laser,3 : Laser,3: Laser,3 : Laser,,,3:レーザー,
EABILITY_D6KNIVES_NAME,4 : Knives,,4 : Cuchillos,4&nbsp;: Couteaux,4 : Messer,4: Coltelli,4 : Facas,,,4:ナイフ,
EABILITY_D6QUAKE_NAME,4 : Quake,,4 : Temblor,4&nbsp;: Séisme,4 : Beben,4: Terremoto,4 : Terremoto,,,4:クエイク,
EABILITY_D6STORM_NAME,5 : Storm,,5 : Tormenta,5&nbsp;: Tempête,5 : Sturm,5: Tempesta,5 : Tempestade,,,5:ストーム,
EABILITY_D6WRATH_NAME,6 : Wrath,,6 : Ira,6&nbsp;: Colère,6 : Zorn,6: Ira,6 : Ira,,,6:ラース,
EABILITY_ROLLDICE_NAME,Roll!,,¡Tirada!,Roule&nbsp;!,Wurf!,Tira!,Cambalhota!,,,ロール!,
EABILITY_SHOVE_NAME,Shove,,Envite,Bourrade,Schubsen,Spinta,Encontrão,,,突き飛ばし,
EABILITY_POISONKNIFE_NAME,Poison Knife,,Cuchillo venenoso,Couteau empoisonné,Giftmesser,Coltello Avvelenato,Faca Envenenada,,,ポイズンナイフ,
EABILITY_HEALBOMB_NAME,Heal Bomb,,Bomba curativa,Bombe de soin,Heilbombe,Bomba Curativa,Bomba de Cura,,,ヒールボム,
EABILITY_MASSHEAL_NAME,Mass Heal,,Curación colectiva,Soin de masse,Massenheilung,Cura di Massa,Cura em Massa,,,マスヒール,
EABILITY_CHAINDASH_NAME,Chain Dash,,Carrera encadenada,Charge en chaîne,Mehrfachansturm,Scatto a Catena,Impulso Encadeado,,,チェインダッシュ,
EABILITY_SHADOWDAGGER_NAME,Shadow Dagger,,Daga sombría,Dague de l'ombre,Schattenmesser,Pugnale d'Ombra,Adaga Sombria,,,シャドウダガー,
EABILITY_GLARE_NAME,Glare,,Resplandor,Regard noir,Schlangenblick,Abbagliamento,Brilho,,,グレア,
EABILITY_BLOW_NAME,Blow,,Golpetazo,Choc,Hieb,Soffio,Assoprão,,,ブロー,
EABILITY_HEALINGWORD_NAME,Healing Word,,Palabra curativa,Mot guérisseur,Heilendes Wort,Parola Curativa,Palavra Curativa,,,ヒーリングワード,
EABILITY_BEARTRAP_NAME,Bear Trap,,Cepo para osos,Piège à ours,Bärenfalle,Trappola per Orsi,Armadilha de Urso,,,ベアトラップ,
EABILITY_SPIN_NAME,Spin,,Giro,Tour,Wirbel,Rotazione,Giro,,,スピン,
EABILITY_DASH_NAME,Dash,,Carrera,Impulsion,Ansturm,Scatto,Impulso,,,ダッシュ,
EABILITY_LICK_NAME,Lick,,Lametón,Léchouille,Schlecker,Leccata,Lambida,,,リック,
EABILITY_SPITGLASS_NAME,Spit Glass,,Escupitajo de cristal,Crachat de verre,Glas spucken,Sputo di Vetro,Cuspir Vidro,,,スピットグラス,
EABILITY_SIRENCALL_NAME,Siren Call,,Canto de sirena,Chant de sirène,Sirenengesang,Richiamo della Sirena,Canto da Sereia,,,サイレンコール,
EABILITY_FURYSWIPES_NAME,Fury Swipes,,Golpes con furia,Frappes furieuses,Kratzfurie,Zampate di Furia,Golpes Furiosos,,,フューリースワイプ,
EABILITY_HITLERSWIPES_NAME,Führer Swipes,,Golpes del Führer,Frappes de Führer,Kratzführer,Zampate del Führer,Golpes do Führer,,,フューラースワイプ,
EABILITY_CHUMSHOT_NAME,Chum Shot,,Tiro de cebo,Tir allié,Köderschuss,Colpo di Pastura,Disparo Amigável,,,チャムショット,
EABILITY_CHUMDASH_NAME,Chum Dash,,Carrera de cebo,Charge alliée,Köderansturm,Scatto di Pastura,Impulso Amigável,,,チャムダッシュ,
EABILITY_SCATTER_NAME,Scatter.,,Dispersión,Dispersion.,Auseinander.,Disperdetevi.,Espalhamento.,,,スキャッター,
EABILITY_HIDE_NAME,Hide.,,Pellejo,Cachez-vous.,Verstecken.,Nascondetevi.,Esconder.,,,ハイド,
EABILITY_MEATTENTACLE_NAME,Meat Tentacle,,Tentáculo carnoso,Viande de tentacule,Fleischtentakel,Tentacolo di Carne,Tentáculo de Carne,,,ミートテンタクル,
EABILITY_LITTER_NAME,Litter,,Basura,Détritus,Streu,Lettiera,Jogar Lixo,,,リター,
EABILITY_WIGGLE_NAME,Wiggle,,Serpenteo,Trémoussage,Wackel,Dimenamento,Balançada,,,ウィグル,
EABILITY_MEATMINION_NAME,Meat Minion,,Secuaz carnoso,Viande de serviteur,Fleischdiener,Servitore di Carne,Servo de Carne,,,ミートミニオン,
EABILITY_BLOATYEXPLODE_NAME,Explode,,Explosión,Explosion,Explodieren,Esplosione,Explosão,,,爆発,
EABILITY_BLOATYEXPLODE_DESC,he explode,,explota,Une explosion.,er macht Bumm,lui esplode,ele faz bum,,,やつは​爆発する,
EABILITY_SPAWNDIP_NAME,Spawn Dip,,Generación de catalino,Invocation de caca,Köttel rufen,Generazione Cacchina,Gerar Caquinha,,,ディップ召喚,
EABILITY_LEECHDASH_NAME,Leech Dash,,Carrera de sanguijuelas,Charge de sangsue,Blutegelansturm,Scatto della Sanguisuga,Impulso Sanguessuga,,,リーチダッシュ,
EABILITY_BUMBLEJUMP_NAME,Bumble Jump,,Bumblesalto,Saut de ver glouton,Bummelsprung,Bubbosalto,Salto Confuso,,,バンブルジャンプ,
EABILITY_FEAST_NAME,Feast,,Festín,Festin,Festmahl,Banchetto,Banquete,,,フィースト,
EABILITY_BONESPURT_NAME,Bone Spurt,,Borbotón óseo,Jet d'os,Knochensporn,Schizzo d'Ossa,Esporão Ósseo,,,ボーンスパート,
EABILITY_ROCKSONG_NAME,Rock Song,,Canción roquera,Morceau de rock,Steinlied,Canzone della Roccia,Canção de Rock,,,ロックソング,
EABILITY_CHUBSPIN_NAME,Chub Spin,,Giro de Chub,Toupie moignon,Chub-Wirbel,Trottola di Chubs,Giro Gorduroso,,,チャブスピン,
EABILITY_NUKE_NAME,Nuke,,Arma nuclear,Bombe nucléaire,Atombombe,Bomba Nucleare,Nuclear,,,ニューク,
EABILITY_NUBFLUB_NAME,Nub Flub,,Pifia de Nub,Bourde moignon,Nub-Sprung,Pasticcio di Flubs,Catotada,,,ヌブフラブ,
EABILITY_FLUSH_NAME,Flush,,Cisterna,Chasse d'eau,Spülung,Sciacquone,Descarga,,,フラッシュ,
EABILITY_TENTICKLES_NAME,Ten Tickles,,Pulpillitas,Tentaccule,Kitzler,Solletico Tentacolare,Dez Cócegas,,,テンティックル,
EABILITY_BOTTOMSUP_NAME,Bottoms Up,,¡Salud!,Cul sec,Prost,Cin Cin,Inversão,,,ボトムズアップ,
EABILITY_BOTTOMSUP_DESC,Gain 5HP. Can only be used when standing in water.,,Obtiene 5 PS. Solo puede usarse en el agua.,Confère PV&nbsp;+5. Ne peut être utilisé que dans l'eau.,Erhalte 5&nbsp;LP. Kann nur im Wasser verwendet werden.,Ottieni 5 PS. Può essere usato solo stando in acqua.,Obtenha 5 PV. Só pode ser utilizado na água.,,,5HP回復する。​水の​中に​立っている​時のみ​使用可能。[b][/b],
EABILITY_LOBBEDWATERSHOT_NAME,Lobbed Water Shot,,Tiro de agua en arco,Tir aquatique en cloche,Wasserschuss,Tiro d'Acqua a Parabola,Disparo Aquático em Arco,,,放物水弾,
EABILITY_LOBBEDWATERSHOT_DESC,Lobbed Water attack.,,Lanza un ataque acuoso en arco.,Attaque aquatique en cloche.,"Ein Wasserangriff, der Hindernisse ignoriert.",Attacco d'acqua a parabola.,Ataque Aquático em Arco.,,,放物線を​描く​水攻撃。,
EABILITY_DISGUISE_NAME,Disguise,,Disfraz,Déguisement,Tarnung,Travestimento,Disfarce,,,変装,
EABILITY_COUNTERSPELL_NAME,Counterspell,,Contrahechizo,Contre-sort,Zauberkonter,Controincantesimo,Contrafeitiço,,,カウンタースペル,
EABILITY_COUNTERSPELL_DESC,"Counter the next spell an enemy casts.If counterspell isn't triggered by your next turn, absorb it to gain +2 Damage and +2 All Stats Up.",,"Contrarresta el siguiente hechizo de un enemigo.Si esta unidad no activa el contrahechizo en el siguiente turno, lo absorbe para obtener +2 de daño y +2 de aumento total.","Contre le prochain sort ennemi. Si le contre-sort ne se déclenche pas d'ici votre prochain tour, vous l'absorbez pour gagner Dégâts&nbsp;+2 et Hausse de stats&nbsp;+2.","Kontert den nächsten Zauber, den ein Gegner wirkt.Wenn Zauberkonter bis zu deinem nächsten Zug nicht ausgelöst wurde, erhalte +2&nbsp;Schaden und +2&nbsp;Bonus auf alle Attribute.","Contrasta il prossimo incantesimo lanciato da un nemico.Se il controincantesimo non viene attivato entro il tuo prossimo turno, lo assorbi e ottieni +2 al Danno e +2 Aumento delle Statistiche.","Contra-ataca o próximo encantamento lançado por um inimigo.Se o contrafeitiço não for ativado no seu próximo turno, absorva-o para obter +2 de dano e +2 em todos os atributos.",,,敵が​次に​唱える​スペルを​カウンターする。​次の​ターンまでに​カウンタースペルが​発動しなければ、​それを​吸収し+2ダメージ上昇と​+2全ステータス上昇を​得る。[b][/b],
EABILITY_BRAINMISSLE_NAME,Brain Missile,,Misil cerebral,Missile psy,Hirnrakete,Missile Mentale,Míssil Cerebral,,,ブレインミサイル,
EABILITY_BRAINMISSLE_DESC,Shoot an infinite-range projectile that can't miss.,,Dispara un proyectil de alcance infinito que no puede fallar.,Tire un projectile à portée infinie qui ne rate jamais sa cible.,"Feuere ein Geschoss mit unendlicher Reichweite ab, das nicht verfehlen kann.",Spara un proiettile a raggio d'azione infinito che non può mancare il bersaglio.,Dispare um projétil de alcance infinito que não pode errar.,,,射程無限で​ミスしない​弾丸を​撃つ。[b][/b],
EABILITY_ACIDSHOT_NAME,Acid Shot,,Tiro ácido,Tir acide,Säureschuss,Colpo Acido,Disparo Ácido,,,アシッドショット,
EABILITY_SUCK_NAME,Suck,,Succión,Aspiration,Sauger,Risucchio,Sugar,,,サック,
EABILITY_SUCK_DESC,"Inhale a unit, then spit it out.",,Aspira a una unidad y luego la escupe.,"Aspire une unité, puis la recrache.",Atme eine Einheit ein und spucke sie anschließend aus.,Inala un'unita e poi la sputa via.,Inale uma unidade e então cuspa-a.,,,ユニットを​吸い​込み、​吐き出す。[b][/b],
EABILITY_WOLFLEAP_NAME,Wolf Leap,,Brinco lobuno,Bond de loup,Wolfsprung,Salto del Lupo,Salto do Lobo,,,ウルフリープ,
EABILITY_DOOM_NAME,DOOM,,Condenación,MALHEUR,TODESURTEIL,SCIAGURA,PERDIÇÃO,,,ドゥーム,
EABILITY_LEECHES_NAME,Leeches,,Sanguijuelas,Sangsues,Blutegel,Sanguisughe,Sanguessugas,,,リーチ,
EABILITY_LEAVE_NAME,Leave,,Abandono,Partir,Verlassen,Esci,Partir,,,離脱,
EABILITY_RETURN_NAME,Return,,Regreso,Revenir,Rückkehr,Ritorna,Retornar,,,復帰,
EABILITY_SPIDERSPAWN_NAME,Spider Spawn,,Generación de araña,Invocation d'araignée,Spinne rufen,Generazione Ragno,Gerar Aranha,,,スパイダー召喚,
EABILITY_WEB_NAME,Web,,Telaraña,Toile,Netz,Ragnatela,Teia,,,ウェブ,
EABILITY_SPAWNSPIDERLING_NAME,Spawn Spiderlings,,Generación de arañitas,Invocation de jeunes araignées,Spinnenlinge rufen,Generazione Ragnetti,Gerar Aranhinhas,,,スパイダーリング召喚,
EABILITY_GOINSANE_NAME,Go Insane!,,¡Locura!,Perds la raison&nbsp;!,Durchdrehen!,Impazzisci!,Enlouquecer!,,,発狂!,
EABILITY_CALMDOWN_NAME,Calm Down!,,¡Tranquilidad!,On se calme&nbsp;!,Beruhigen!,Calmati!,Acalmar-se!,,,冷静に!,
EABILITY_BUTTWEB_NAME,Butt Web,,Telaraña anal,Toile du cul,Arschnetz,Ragnatela del Sedere,Teia de Bumbum,,,バットウェブ,
EABILITY_FLIP_NAME,Flip,,Vuelta,Flip flap,Flip,Capriola,Virada,,,フリップ,
EABILITY_FART_NAME,Fart,,Pedo,Pet,Furz,Scoreggia,Pum,,,ファート,
EABILITY_SPAWNWISP_NAME,Spawn Wisp,,Generación de avispa,Invocation de feu follet,Irrlicht rufen,Generazione Fuoco Fatuo,Gerar Fogo-Fátuo,,,ウィスプ召喚,
EABILITY_BOMBTOSS_NAME,Bomb Toss,,Lanzamiento de bomba,Lancer de bombe,Bombenwurf,Lancio di Bomba,Lançamento de Bomba,,,ボムトス,
EABILITY_CONVERT_NAME,Convert,,Conversión,Conversion,Konvertieren,Conversione,Conversão,,,改宗,
EABILITY_ZEALOT_NAME,Zealot,,Fanatismo,Zélote,Fanatiker,Zelota,Fanatismo,,,ゼロット,
EABILITY_BONESHOT_NAME,Bone Shot,,Tiro óseo,Tir d'os,Knochenschuss,Colpo d'Ossa,Disparo Ósseo,,,ボーンショット,
EABILITY_SANDRUSH_NAME,Sand Rush,,Embestida arenosa,Charge sableuse,Sandrausch,Scatto di Sabbia,Ataque de Areia,,,サンドラッシュ,
EABILITY_EAT_NAME,Eat,,Comida,Manger,Essen,Mangia,Comer,,,捕食,
EABILITY_POISONATTACK_NAME,Poison Attack,,Ataque venenoso,Attaque empoisonnée,Giftangriff,Attacco Velenoso,Ataque Venenoso,,,ポイズンアタック,
EABILITY_STING_NAME,Sting,,Picadura,Piqûre,Stich,Puntura,Ferroada,,,スティング,
EABILITY_GRAPPLE_NAME,Grapple,,Sujeción,Baston,Zupacken,Grappino,Agarrão,,,グラップル,
EABILITY_SHOOTGUN_NAME,Shoot Gun,,Disparo de arma,Tir de fusil,Revolver,Colpo di Pistola,Disparo de Arma,,,銃撃,
EABILITY_RELOAD_NAME,Reload,,Recarga,Recharge,Nachladen,Ricarica,Recarregamento,,,リロード,
EABILITY_HUG_NAME,Hug,,Abrazo,Câlin,Umarmung,Abbraccio,Abraço,,,ハグ,
EABILITY_DROPCAT_NAME,Drop Cat,,Gato suelto,Lâcher de chat,Katze fallen lassen,Rilascio del Gatto,Soltar Gato,,,キャットドロップ,
EABILITY_CATSLAP_NAME,Cat Slap,,Garfada felina,Baffe de chat,Katzenschlag,Schiaffo del Gatto,Tapa Felino,,,キャットスラップ,
EABILITY_BIGSPIN_NAME,Big Spin,,Giro grande,Grand tour,Großer Wirbel,Grossa Rotazione,Grande Giro,,,ビッグスピン,
EABILITY_RADIATE_NAME,Radiate,,Radiación,Rayonnement,Ausstrahlen,Irradiazione,Irradiar,,,ラジエート,
EABILITY_CRACKLE_NAME,Crackle,,Crujido,Crépitement,Knistern,Crepitio,Estalo,,,クラックル,
EABILITY_BLESS_NAME,Bless,,Bendición,Grâce,Segnen,Benedizione,Abençoar,,,ブレス,
EABILITY_FEELGOODDRUGS_NAME,Feel Good Drugs,,Estimulantes,Drogues agréables,Das gute Zeug,Medicine del Buonumore,Drogas Boas,,,ハッピードラッグ,
EABILITY_FEELBADDRUGS_NAME,Feel Bad Drugs,,Depresivos,Drogues désagréables,Das schlechte Zeug,Medicine del Malumore,Drogas Ruins,,,バッドドラッグ,
EABILITY_RECHARGE_NAME,Recharge,,Recarga,Recharger,Aufladen,Alimentazione,Recarga,,,リチャージ,
EABILITY_KILLDOZE_NAME,Killdoze,,Devastación,Killdoze,Killdozer,Killdoze,Devastação,,,キルドーズ,
EABILITY_GUNKBALL_NAME,Gunk Ball,,Bola de pringue,Boule de crasse,Schmierball,Palla di Poltiglia,Bola de Gosma,,,ガンクボール,
EABILITY_TELEKENESIS_NAME,Telekinesis,,Telequinesis,Télékinésie,Telekinese,Telecinesi,Telecinese,,,テレキネシス,
EABILITY_MINDCONTROL_NAME,Mind Control,,Control mental,Contrôle psychique,Gedankenkontrolle,Controllo Mentale,Controle Mental,,,マインドコントロール,
